사고발생_년도,사고발생_월일,사고발생_시간,행정동,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고세부유형,법규위반,큰도로형태,세부도로형태,가해운전자 상해정도,피해운전자 상해정도
2018년,9월27일,04시,공릉동,중상사고,0,1,0,0,횡단중,안전운전불이행,단일로,기타,상해없음,중상
2018년,10월16일,05시,하계동,중상사고,0,1,0,0,횡단중,안전운전불이행,교차로,교차로부근,상해없음,중상
2018년,10월18일,00시,하계동,경상사고,0,0,1,0,횡단중,보행자보호의무위반,교차로,교차로횡단보도내,상해없음,경상
2018년,10월18일,02시,하계동,경상사고,0,0,1,0,횡단중,안전운전불이행,교차로,교차로횡단보도내,기타불명,경상
2018년,10월20일,04시,공릉동,경상사고,0,0,1,0,차도통행중,안전운전불이행,교차로,교차로부근,상해없음,경상
2018년,10월30일,05시,상계동,중상사고,0,1,0,0,횡단중,보행자보호의무위반,교차로,교차로횡단보도내,상해없음,중상
2018년,11월17일,01시,상계동,중상사고,0,3,0,0,횡단중,안전운전불이행,단일로,기타,상해없음,중상
2018년,11월22일,05시,공릉동,중상사고,0,1,0,0,횡단중,보행자보호의무위반,교차로,교차로횡단보도내,상해없음,중상
2018년,11월25일,01시,공릉동,중상사고,0,1,0,0,횡단중,안전운전불이행,교차로,교차로안,상해없음,중상
2018년,12월29일,01시,공릉동,경상사고,0,0,1,0,횡단중,신호위반,교차로,교차로안,상해없음,경상
2019년,1월12일,01시,공릉동,부상신고사고,0,0,0,1,횡단중,안전운전불이행,교차로,교차로부근,상해없음,부상신고
2019년,2월12일,00시,상계동,경상사고,0,0,1,0,횡단중,안전운전불이행,교차로,교차로부근,상해없음,경상
2019년,3월18일,05시,상계동,사망사고,1,0,0,0,횡단중,안전운전불이행,단일로,기타,상해없음,사망
2019년,3월20일,05시,상계동,경상사고,0,0,1,0,횡단중,보행자보호의무위반,교차로,교차로부근,상해없음,경상
2019년,3월24일,04시,상계동,경상사고,0,0,1,0,횡단중,보행자보호의무위반,교차로,교차로부근,상해없음,경상
2019년,4월30일,00시,월계동,중상사고,0,3,0,0,횡단중,안전운전불이행,교차로,교차로안,상해없음,중상
2019년,5월6일,00시,중계동,경상사고,0,0,1,0,횡단중,보행자보호의무위반,교차로,교차로안,상해없음,경상
2019년,5월20일,03시,상계동,중상사고,0,1,0,0,횡단중,안전운전불이행,단일로,기타,상해없음,중상
2019년,6월7일,05시,상계동,경상사고,0,0,1,0,횡단중,보행자보호의무위반,교차로,교차로횡단보도내,상해없음,경상
2019년,6월23일,04시,하계동,중상사고,0,1,0,0,횡단중,안전운전불이행,기타,기타,상해없음,중상
2019년,7월19일,05시,상계동,경상사고,0,0,1,0,차도통행중,안전운전불이행,교차로,교차로안,상해없음,경상
2019년,7월21일,02시,상계동,중상사고,0,1,1,0,횡단중,과속,교차로,교차로안,상해없음,중상
2019년,7월22일,04시,공릉동,사망사고,1,0,0,0,차도통행중,과속,단일로,기타,상해없음,사망
2019년,7월24일,00시,하계동,중상사고,0,1,0,0,횡단중,신호위반,교차로,교차로안,상해없음,중상
2019년,7월31일,00시,공릉동,중상사고,0,1,0,0,횡단중,보행자보호의무위반,교차로,교차로안,상해없음,중상
2019년,10월6일,03시,월계동,경상사고,0,0,1,0,차도통행중,안전운전불이행,교차로,교차로안,상해없음,경상
2019년,10월31일,00시,상계동,경상사고,0,0,1,0,횡단중,안전운전불이행,단일로,기타,상해없음,경상
2019년,11월8일,03시,상계동,경상사고,0,0,1,0,횡단중,보행자보호의무위반,교차로,교차로횡단보도내,상해없음,경상
2019년,11월9일,00시,상계동,중상사고,0,1,0,0,횡단중,과속,교차로,교차로횡단보도내,상해없음,중상
2019년,12월8일,00시,중계동,중상사고,0,1,0,0,횡단중,안전운전불이행,교차로,교차로횡단보도내,상해없음,중상
2019년,12월29일,01시,공릉동,경상사고,0,0,1,0,횡단중,보행자보호의무위반,교차로,교차로안,상해없음,경상
2020년,1월1일,03시,상계동,경상사고,0,0,1,0,횡단중,안전운전불이행,단일로,기타,상해없음,경상
2020년,1월5일,02시,상계동,경상사고,0,0,1,0,차도통행중,안전운전불이행,기타,기타,상해없음,경상
2020년,1월6일,05시,상계동,중상사고,0,1,0,0,횡단중,신호위반,교차로,교차로부근,상해없음,중상
2020년,2월10일,05시,하계동,중상사고,0,1,0,0,횡단중,신호위반,교차로,교차로횡단보도내,상해없음,중상
2020년,2월16일,02시,상계동,경상사고,0,0,1,0,횡단중,안전운전불이행,단일로,기타,상해없음,경상
2020년,3월18일,04시,상계동,중상사고,0,1,0,0,횡단중,안전운전불이행,단일로,교량,상해없음,중상
2020년,3월19일,00시,상계동,경상사고,0,0,1,0,횡단중,보행자보호의무위반,교차로,교차로안,상해없음,경상
2020년,7월11일,01시,상계동,경상사고,0,0,1,0,횡단중,신호위반,단일로,기타,상해없음,경상
2020년,8월5일,00시,중계동,중상사고,0,1,0,0,횡단중,보행자보호의무위반,교차로,교차로횡단보도내,상해없음,중상
2021년,3월21일,00시,상계동,경상사고,0,0,1,0,차도통행중,안전운전불이행,단일로,기타,상해없음,경상
2021년,4월7일,00시,하계동,경상사고,0,0,1,0,횡단중,안전운전불이행,교차로,교차로안,상해없음,경상
2021년,4월17일,00시,상계동,중상사고,0,1,3,0,차도통행중,안전운전불이행,기타,기타,상해없음,중상
2021년,7월13일,00시,상계동,중상사고,0,1,0,1,차도통행중,안전운전불이행,단일로,터널,부상신고,중상
2021년,8월11일,04시,상계동,경상사고,0,0,1,0,횡단중,안전운전불이행,단일로,기타,상해없음,경상
2021년,8월12일,03시,월계동,중상사고,0,1,0,0,횡단중,신호위반,교차로,교차로부근,상해없음,중상
2021년,8월31일,05시,공릉동,경상사고,0,0,1,0,차도통행중,안전운전불이행,교차로,교차로안,상해없음,경상
